CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
8000.0,56.0,Female,136912.0,Social Media,Awareness,6497.870068417766,0.043918511,0.088031412,0.0,2.399016527783845,7.396802580796058,19.0,6.0,9.0,4.0,688.0,IsConfid,ToolConfid,1
8001.0,69.0,Male,41760.0,Email,Retention,3898.6686056807257,0.1557250710553343,0.18272468252179,42.0,2.9171377546565185,5.352548601242156,5.0,2.0,7.0,2.0,3459.0,IsConfid,ToolConfid,1
8004.0,60.0,Female,83964.0,PPC,Conversion,1678.0435726570656,0.2528511065638809,0.1099401031792947,0.0,2.046847118073755,13.993370402628964,6.0,6.0,6.0,8.0,4345.0,IsConfid,ToolConfid,1
8008.0,36.0,Female,140788.0,Email,Retention,9421.250950540458,0.0235359683143721,0.1125850114170922,13.0,5.472842819871711,14.287420579067645,73.0,4.0,8.0,5.0,460.0,IsConfid,ToolConfid,1
8009.0,40.0,Male,130764.0,Social Media,Awareness,6229.193333047879,0.066641275,0.1697856796231377,22.0,1.1356646981040013,4.613311983530028,14.0,8.0,4.0,8.0,3789.0,IsConfid,ToolConfid,1
8011.0,28.0,Male,29605.0,SEO,Awareness,2898.2530032081336,0.1985574333235444,0.1566787071906025,16.0,9.164109335,1.3722992112148078,23.0,18.0,6.0,5.0,2403.0,IsConfid,ToolConfid,1
8015.0,41.0,Female,39192.0,Email,Awareness,429.07921736744015,0.072889729,0.095388962,44.0,6.953694912,2.2520393830350898,33.0,0.0,1.0,1.0,4474.0,IsConfid,ToolConfid,0
8016.0,20.0,Female,23331.0,PPC,Conversion,2244.6180670685367,0.2784282293628509,0.031205837,1.0,3.479642300460536,4.452665667280358,77.0,7.0,8.0,8.0,3252.0,IsConfid,ToolConfid,1
8021.0,47.0,Female,119233.0,SEO,Consideration,8333.232297346969,0.2576963413187493,0.0112493654655946,36.0,9.691906324,1.470518152555739,63.0,14.0,0.0,5.0,2586.0,IsConfid,ToolConfid,1
8022.0,55.0,Male,57586.0,Email,Consideration,6599.333294530985,0.2600797774918882,0.1357636182127649,14.0,3.4460780379605,12.85260043957216,94.0,14.0,6.0,9.0,1989.0,IsConfid,ToolConfid,1
8025.0,50.0,Female,144213.0,PPC,Conversion,9229.345319157108,0.2929298335576006,0.070794772,22.0,1.852651784450584,7.901721933466988,70.0,17.0,3.0,3.0,2227.0,IsConfid,ToolConfid,1
8027.0,39.0,Male,98311.0,Social Media,Retention,6920.238875218272,0.0106438933829566,0.1056483789680143,39.0,2.521653108,9.332746262,98.0,17.0,6.0,1.0,2688.0,IsConfid,ToolConfid,1
8028.0,61.0,Female,27549.0,Referral,Retention,6250.274938812751,0.1547151718103979,0.079767242,25.0,3.9527420104793984,10.67294510281997,92.0,17.0,1.0,3.0,68.0,IsConfid,ToolConfid,1
8030.0,66.0,Male,72494.0,PPC,Awareness,2479.1774573967928,0.2350655917599299,0.091194877,21.0,4.960582617824441,0.9482583271575142,76.0,19.0,9.0,4.0,1011.0,IsConfid,ToolConfid,1
8032.0,59.0,Female,43958.0,Referral,Awareness,8740.449982978864,0.2753994823941842,0.015626654,24.0,3.170819821328504,3.1410596327745486,24.0,10.0,5.0,6.0,4683.0,IsConfid,ToolConfid,1
8041.0,54.0,Female,25833.0,Social Media,Conversion,9087.265653329208,0.022306176,0.09864523,39.0,8.783242758213401,2.3389376321483093,49.0,14.0,3.0,1.0,3243.0,IsConfid,ToolConfid,1
8042.0,68.0,Female,142893.0,SEO,Retention,5313.324459,0.2426324405512773,0.021182732,46.0,8.866645175813446,10.124628655923578,10.0,9.0,9.0,9.0,3513.0,IsConfid,ToolConfid,1
8043.0,24.0,Male,43386.0,SEO,Retention,5705.127963379232,0.049681979,0.1855592363192903,21.0,2.290589950043227,8.553267291850656,33.0,5.0,9.0,0.0,913.0,IsConfid,ToolConfid,0
8047.0,35.0,Female,91778.0,Social Media,Consideration,5631.309072268467,0.1509899687773146,0.069523043,2.0,8.767835076942303,4.171662098102583,21.0,2.0,7.0,8.0,3388.0,IsConfid,ToolConfid,1
8056.0,45.0,Male,36035.0,Email,Consideration,385.99290549242215,0.2325776816580768,0.065022135,25.0,5.871602254502379,4.885572327041508,28.0,5.0,7.0,9.0,3851.0,IsConfid,ToolConfid,1
8057.0,64.0,Female,26732.0,PPC,Awareness,7830.388713705501,0.038553471,0.1189066883529833,37.0,3.28029404835394,10.500381999363016,68.0,5.0,3.0,0.0,336.0,IsConfid,ToolConfid,1
8060.0,25.0,Female,120488.0,PPC,Consideration,9657.291465952358,0.069981159,0.061096514941483,21.0,1.3455584162298455,7.560799216279875,38.0,7.0,6.0,0.0,1035.0,IsConfid,ToolConfid,1
8064.0,34.0,Male,132194.0,Social Media,Retention,5322.115150073824,0.1543456166713971,0.08741904,16.0,5.959106045055914,13.76491648066984,59.0,18.0,3.0,4.0,824.0,IsConfid,ToolConfid,1
8071.0,59.0,Female,59865.0,PPC,Conversion,3042.8596143465093,0.2978780561042613,0.1355976716023083,43.0,2.330102106363525,4.577684189998155,46.0,4.0,5.0,7.0,558.0,IsConfid,ToolConfid,1
8072.0,21.0,Male,28469.0,Email,Consideration,6536.094937308202,0.1279623998375756,0.1742106781624555,44.0,5.410550208628478,5.735629035884559,8.0,5.0,5.0,4.0,2761.0,IsConfid,ToolConfid,1
